raw_date,raw_title,raw_description,link
Publié le 31 janv. 2024,« On n’a pas une minute à perdre »,"Ils sont les yeux du métro, mais aussi ceux qu’on n’y voit jamais. Toutes les nuits, des centaines d’employés de la Société de transport de Montréal (STM) s’affairent à réparer les problèmes de la « colonne vertébrale » de la mobilité de la métropole. Et ils ont entre trois et quatre heures, parfois moins, pour parer au plus urgent. a passé une nuit sous terre avec l’une de ces équipes.",https://www.lapresse.ca/actualites/grand-montreal/2024-01-31/une-nuit-dans-le-metro/on-n-a-pas-une-minute-a-perdre.php
Publié le 26 janv. 2024,Arrêt de service terminé sur la ligne orange,"La ligne orange du métro de Montréal a été paralysée entre les stations Berri-UQAM et Henri-Bourassa pendant un total de plus de trois heures vendredi, mais la situation finalement est revenue à la normale.",https://www.lapresse.ca/actualites/grand-montreal/2024-01-26/metro-de-montreal/arret-de-service-termine-sur-la-ligne-orange.php
Publié le 26 janv. 2024,Le premier projet immobilier de la STM achoppe,"La première incursion de la Société de transport de Montréal (STM) dans le domaine du développement immobilier – 274 logements au métro Frontenac – a du plomb dans l’aile, a appris .",https://www.lapresse.ca/actualites/grand-montreal/2024-01-26/274-logements-au-metro-frontenac/le-premier-projet-immobilier-de-la-stm-achoppe.php
Publié le 25 janv. 2024,Des constables spéciaux de plus en plus sollicités dans le métro,"Le nombre d’appels pour faire intervenir des constables spéciaux a bondi en 2023 dans le métro, a révélé jeudi la Société de transport de Montréal (STM). Devant l’insécurité grandissante, le transporteur ajoute des dizaines d’agents en renfort.",https://www.lapresse.ca/actualites/grand-montreal/2024-01-25/47-000-signalements-en-2023/des-constables-speciaux-de-plus-en-plus-sollicites-dans-le-metro.php
Publié le 23 janv. 2024,François Lambert lorgne la mairie de Montréal,"Dénonçant comme Pierre Poilievre l’« incompétence » de Valérie Plante, l’entrepreneur François Lambert a affirmé qu’il songeait à la mairie de Montréal, devenu selon lui « ville de riches ».",https://www.lapresse.ca/actualites/grand-montreal/2024-01-23/francois-lambert-lorgne-la-mairie-de-montreal.php
Publié le 22 janv. 2024,Des millions de la STM retenus pendant un mois,"De vives tensions ont déchiré en coulisse les acteurs du transport en commun de la métropole l’an dernier, paralysant même le financement de la Société de transport de Montréal (STM) pendant un mois. Une situation qui s’était déjà produite par le passé.",https://www.lapresse.ca/actualites/grand-montreal/2024-01-22/transport-en-commun/des-millions-de-la-stm-retenus-pendant-un-mois.php
Publié le 21 janv. 2024,Le pneu crevé,"Il n’y aura pas de chialage dans cette chronique. Je n’ai pas de chemise à déchirer, aujourd’hui. Chronique tranche de vie.",https://www.lapresse.ca/actualites/chroniques/2024-01-21/le-pneu-creve.php
Publié le 19 janv. 2024,"Le raccourci bientôt ouvert à la Place Bonaventure, croit le propriétaire","Un raccourci qui permettrait à des milliers de voyageurs d’économiser du temps de transfert entre le métro et le REM au centre-ville de Montréal devrait bientôt ouvrir, selon Place Bonaventure.",https://www.lapresse.ca/actualites/grand-montreal/2024-01-19/transfert-entre-le-rem-et-le-metro/le-raccourci-bientot-ouvert-a-la-place-bonaventure-croit-le-proprietaire.php
Publié le 19 janv. 2024,« Il faut se lancer dans des choses qu’on ne connaît pas »,"Tous les vendredis, une personne de la communauté des affaires se dévoile dans notre section. Cette semaine, Hélène Godin, présidente-directrice générale, cofondatrice et cheffe de l’innovation pédagogique de La Factry – École des sciences de la créativité, répond à nos questions.",https://www.lapresse.ca/affaires/2024-01-19/dix-questions-a-helene-godin/il-faut-se-lancer-dans-des-choses-qu-on-ne-connait-pas.php
Publié le 18 janv. 2024,Les hauts et les bas du transport collectif,"Mercredi, nous vous demandions de nous partager vos expériences avec les transports en commun. Voici quelques-unes de vos réactions.",https://www.lapresse.ca/dialogue/courrier-des-lecteurs/2024-01-18/place-aux-lecteurs/les-hauts-et-les-bas-du-transport-collectif.php
Publié le 17 janv. 2024,L’ARTM veut faciliter le renouvellement des cartes OPUS,"Les personnes âgées, les étudiants et les autres usagers bénéficiant de rabais tarifaires n’auront bientôt plus besoin d’aller en billetterie pour renouveler leur carte OPUS. D’ici peu, l’Autorité régionale de transport métropolitain (ARTM) aimerait pouvoir valider leur identité à distance et procéder de façon 100 % numérique.",https://www.lapresse.ca/actualites/grand-montreal/2024-01-17/aines-et-etudiants/l-artm-veut-faciliter-le-renouvellement-des-cartes-opus.php
Publié le 15 janv. 2024,"Mont-Royal et Hampstead, champions du déneigement","Ce sont les villes liées de Mont-Royal et de Hampstead qui déneigent le mieux leurs arrêts d’autobus durant les bordées de neige dans la métropole. C’est du moins ce que montrent des données de l’organisme Transit, qui espère ainsi encourager les arrondissements à faire mieux en matière de confort et d’accessibilité pour les usagers.",https://www.lapresse.ca/actualites/grand-montreal/2024-01-15/arrets-d-autobus/mont-royal-et-hampstead-champions-du-deneigement.php
Publié le 12 janv. 2024,Un tramway pour une fraction du prix,"C’est un tramway qui sera finalement recommandé au gouvernement Legault pour remplacer le REM de l’Est plutôt que le tracé souterrain à 36 milliards proposé l’été dernier, a appris . La facture serait réduite au moins de moitié pour atteindre environ 13 milliards.",https://www.lapresse.ca/actualites/grand-montreal/2024-01-12/projet-structurant-de-l-est/un-tramway-pour-une-fraction-du-prix.php
Publié le 2 janv. 2024,Un dégagement de fumée provoque des interruptions de service,"(Montréal) Les deux interruptions de service du métro de Montréal qui ont été décrétées mardi matin par la Société de transport de Montréal (STM) ont pris fin vers 9 h 05, tel que prévu.",https://www.lapresse.ca/actualites/grand-montreal/2024-01-02/metro-de-montreal/un-degagement-de-fumee-provoque-des-interruptions-de-service.php
Publié le 2 janv. 2024,Dans la peau des usagers pour lutter contre l’insécurité,"Inès Moreau fait beaucoup plus attention dans le métro et les bus de la métropole depuis qu’un homme l’a harcelée – elle a dû en venir à faire un signalement à la police. Pour faire œuvre utile, elle participe aujourd’hui aux « marches exploratoires » de la Société de transport de Montréal (STM), qui ont pour objet de lutter contre l’insécurité des usagers. a suivi l’une d’entre elles.",https://www.lapresse.ca/actualites/grand-montreal/2024-01-02/metro/dans-la-peau-des-usagers-pour-lutter-contre-l-insecurite.php
Publié le 23 déc. 2023,"Mon beau sapin, roi des… exportations","Naturel ou artificiel, le sapin de Noël ? Question aussi épineuse que celle de savoir qui, cette année, va poser l’ange sur la plus haute branche. Chose certaine, la tradition ne se perd pas. Car le sapin naturel québécois entre dans des centaines de milliers de chaumières, au Québec et dans plusieurs régions de l’Amérique.",https://www.lapresse.ca/actualites/2023-12-23/mon-beau-sapin-roi-des-exportations.php
Publié le 19 déc. 2023,Une œuvre d’art du métro disparaît sans laisser de trace,"Une œuvre du sculpteur Charles Daudelin a récemment disparu de son socle au métro Mont-Royal, a appris La Presse. Les enquêteurs de la Société de transport de Montréal (STM) nagent en plein mystère.",https://www.lapresse.ca/actualites/grand-montreal/2023-12-19/station-mont-royal/une-oeuvre-d-art-du-metro-disparait-sans-laisser-de-trace.php
Publié le 18 déc. 2023,Le SRB Pie-IX pourra maintenant circuler jusqu’à Laval,"Le Service rapide par bus (SRB) Pie-IX prend encore un peu de galon. Les travaux de son tunnel piétonnier étant achevés à l’intersection de la rue Jean-Talon, la Société de transport de Montréal (STM) pourra faire circuler ses autobus sans entrave en voie dédiée jusqu’au boulevard Saint-Martin, à Laval, depuis l’avenue Pierre-De Coubertin.",https://www.lapresse.ca/actualites/grand-montreal/2023-12-18/le-srb-pie-ix-pourra-maintenant-circuler-jusqu-a-laval.php
Publié le 14 déc. 2023,La STM ajuste son service à la hausse à L’Île-des-Sœurs,"La Société de transport de Montréal s’ajuste à L’Île-des-Sœurs, où des usagers dénonçaient que les nouveaux circuits d’autobus se connectant au Réseau express métropolitain (REM) allongeaient les temps de parcours. Le service sera prolongé le soir et le week-end sur la ligne 168 dès le 8 janvier. Un nouveau parcours verra aussi le jour.",https://www.lapresse.ca/actualites/grand-montreal/2023-12-14/refonte-liee-au-rem/la-stm-ajuste-son-service-a-la-hausse-a-l-ile-des-soeurs.php
Publié le 13 déc. 2023,Nova Bus sollicite Québec pour des ajustements de prix,Un important contrat décroché par Nova Bus en 2018 pour des modèles hybrides donne des maux de tête au constructeur d’autobus urbains. L’entreprise tente de convaincre Québec de consentir à des augmentations de prix en évoquant la flambée des coûts de production depuis le début de la pandémie.,https://www.lapresse.ca/affaires/entreprises/2023-12-13/gros-contrat-pour-des-autobus-hybrides/nova-bus-sollicite-quebec-pour-des-ajustements-de-prix.php
Publié le 12 déc. 2023,Autopsie d’un fiasco à 690 millions,"Plans mal ficelés, rues ouvertes, puis fermées, puis rouvertes, retards immenses : le chantier du Service rapide par bus (SRB) Pie-IX a été une véritable comédie d’erreurs, affirme une poursuite récente de 72 millions de dollars. Un fiasco qui illustre par la bande les failles dans le mode de réalisation des projets de transport collectif au Québec.",https://www.lapresse.ca/actualites/chroniques/2023-12-12/autopsie-d-un-fiasco-a-690-millions.php
